fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class
17.3441,9.3037,2.4752,0.5962,0.3994,20.6682,13.3801,-1.97,17.7168,224.8004,0
18.9821,10.0948,2.2455,0.5739,0.3267,-23.1794,-10.4958,-3.7785,18.537,194.358,1
25.3993,14.0419,2.5334,0.3953,0.2533,6.6444,16.4517,9.2754,8.4814,164.808,1
68.8641,21.4735,2.9484,0.3525,0.1909,-62.2684,-41.2418,14.4764,0.1121,175.83,0
20.1333,9.3536,2.2945,0.6345,0.4239,-2.8223,13.9261,9.61,72.8171,153.137,1
20.338,12.7461,2.6518,0.4348,0.2241,-0.9577,4.7392,-8.5004,43.43600000000001,223.037,0
84.2719,28.9583,2.6772,0.3701,0.2093,-31.3787,-80.5427,18.5167,14.638,318.129,0
28.5312,12.4694,2.6737,0.4001,0.2243,52.428,-4.3736,-10.3718,77.6876,127.9204,0
38.5725,12.5664,2.5132,0.5061,0.3236,-26.1194,-27.791,6.9751,12.14,163.313,0
27.0703,6.917999999999999,2.2474,0.5721,0.3223,7.5857,23.7032,12.041,48.8129,108.5998,0
19.775,10.3848,2.444,0.6511,0.3291,-9.2683,17.74,11.1407,1.668,217.31,0
27.2062,6.8678,2.3617,0.6174,0.3196,31.8219,18.6673,-3.5156,16.4803,216.58900000000003,0
12.9627,11.2948,2.0663,0.7468,0.382,-15.0053,4.0567,-11.7542,61.5575,137.259,1
80.1168,22.5723,2.9713,0.2041,0.1063,-82.0716,70.5643,15.78,3.4486,274.863,1
62.0023,31.9066,3.5554,0.1492,0.0792,67.3373,48.6388,-13.4348,0.505,204.325,1
25.8224,7.0937,2.29,0.6513,0.4385,-9.6906,-13.6263,3.502,31.469,208.955,1
37.7811,15.0295,2.6522,0.3653,0.2327,16.7802,36.8285,-7.6542,11.192,262.707,1
23.556,13.4544,2.3191,0.4652,0.2662,24.8943,13.4769,-5.9003,1.5306,179.952,1
42.9036,22.5302,3.3729,0.2081,0.1049,23.1737,-26.8253,14.4202,1.586,232.895,1
126.7675,85.4938,3.4102,0.0797,0.0363,128.789,112.9238,-90.0617,32.4884,146.5853,0
18.2123,12.7203,2.4158,0.595,0.3013,-5.0695,13.5919,-7.9454,83.0753,196.808,1
16.4506,11.2221,2.3263,0.6274,0.3892,-2.2667,5.6423,7.7692,31.76,247.824,1
81.7977,35.6466,3.7048,0.12,0.0707,-93.6769,53.7303,-27.9101,2.985,246.496,1
39.4622,4.6474,2.3784,0.6234,0.4038,18.6142,29.3952,3.4627,14.005999999999998,166.731,1
12.9842,11.0986,2.07,0.7489,0.4383,-14.4071,6.6499,-10.176,64.903,182.963,1
33.0776,12.6328,2.5126,0.3963,0.2473,12.1478,-23.3928,-7.7522,29.307,97.1445,1
201.588,73.0943,3.4777,0.1821,0.092,-194.567,-82.46,59.7483,83.6042,257.416,0
51.472,10.4108,2.5453,0.3276,0.1838,73.5451,17.7028,-7.1886,16.7782,176.55900000000003,1
32.6655,19.6497,2.6642,0.2579,0.1398,-31.6564,12.7555,-12.1317,8.041,179.109,1
21.1265,0.0,2.1599,0.7751,0.5017,0.0,0.0,-8.6224,37.923,197.613,1
18.1406,10.5832,2.1818,0.5789,0.3059,23.0806,9.7451,-4.4156,45.7654,146.202,1
68.5377,21.7562,2.9731,0.2149,0.1229,60.3419,64.8438,-11.3324,15.494000000000002,186.18,1
23.9025,17.3947,2.5185,0.5121,0.3288,10.598,15.9701,-17.7075,14.9967,203.366,1
32.681999999999995,13.5461,2.6473,0.3673,0.1707,14.9522,9.8967,8.3052,75.265,102.2822,0
17.3517,16.875999999999998,2.4965,0.4064,0.2277,-0.8085,16.4074,6.3584,32.4333,145.3753,0
20.1503,12.4859,2.4749,0.4958,0.2697,-2.7652,12.3436,-10.2218,3.0331,163.523,1
33.6254,16.2543,2.7296,0.3262,0.1668,-14.209,-24.4998,-12.002,61.1523,219.4,0
67.7139,28.5831,3.2384,0.205,0.1106,-133.645,63.1391,-16.6379,47.979,251.993,0
29.0856,16.7256,2.7493,0.3954,0.2378,10.661,-17.5067,-8.0813,16.421,139.156,1
80.596,26.4271,2.9326,0.21,0.1097,-63.9964,-77.8729,7.7452,45.2636,60.8011,0
40.4257,29.6162,2.8021,0.3091,0.168,37.9317,41.9258,-29.7312,58.424,203.837,0
20.6393,16.5652,2.4116,0.4379999999999999,0.2384,-0.9615,6.9154,11.0476,41.187,101.55,1
17.1908,15.833,2.5855,0.6,0.3909,11.978,13.0369,-7.7887,0.076,101.899,1
80.1507,27.6908,3.0946,0.2115,0.1194,52.3891,85.8081,14.8604,0.302,265.98400000000004,1
22.8613,12.6787,2.5159,0.5122,0.3034,21.0613,12.044,-9.4541,8.693999999999999,156.341,1
12.6191,11.8,2.1945,0.6965,0.3802,-16.0483,9.8061,7.5212,81.1099,165.104,1
42.6005,22.6843,3.031,0.2253,0.1206,-4.1977,-13.1639,9.4312,14.976,220.277,1
24.4544,0.0,2.1861,0.6709999999999999,0.3355,0.1954,-5.5906,0.0,59.9195,120.098,0
34.6319,15.245,2.6721,0.4255,0.2351,31.8166,26.8105,3.9682,1.5530000000000002,181.643,1
22.0233,11.1419,2.5711,0.647,0.4792,6.5974,17.7224,-11.4238,69.7743,166.59400000000002,0
84.4745,21.301,3.1755,0.2664,0.1392,-39.5699,61.0268,-6.2394,3.18,290.166,1
63.2384,21.5036,2.8762,0.3378,0.1948,55.4064,-40.6839,9.5333,6.242000000000001,193.039,0
23.8449,12.7567,2.4183,0.4771,0.2729,17.534000000000002,16.7979,-6.8923,45.306,150.858,1
20.4624,7.0807,2.0881,0.7592,0.4041,22.0253,12.8465,-5.647,25.2239,107.286,1
143.47,54.3127,3.7465,0.0886,0.0453,-204.767,-40.2249,36.2939,2.037,282.608,0
22.0892,11.3512,2.4526,0.5503,0.3122,10.6048,19.2467,-5.9711,7.8401,163.859,1
49.4834,16.9858,2.995,0.2418,0.1229,45.0047,-29.7567,-4.8865,0.9353,212.0,1
56.4481,22.4001,3.2609,0.1815,0.0877,18.1382,-37.6199,17.4892,48.8909,184.1571,0
34.7049,17.8712,2.7118,0.3068,0.168,18.8845,24.4809,16.7615,16.679000000000002,135.966,1
99.5309,33.654,3.1331,0.1877,0.1086,162.387,-82.1548,-25.2829,32.325,227.157,0
40.2789,23.3107,2.8476,0.4006,0.282,-45.6908,-28.1249,-16.8017,2.0323,284.663,1
19.7083,16.4235,2.5717,0.4316,0.2319,-1.4342,11.5495,6.4825,10.4413,224.014,1
24.6793,18.832,2.7917,0.3522,0.1834,22.8132,19.4437,-13.2446,80.6523,104.099,0
17.1067,6.8195,2.2768,0.6185,0.3667,-16.0989,-18.2248,13.0816,89.7228,65.1721,0
34.2306,17.4427,2.7352,0.3109,0.1573,51.4683,20.0774,-12.9813,1.3814,111.12,1
25.7902,16.0891,2.317,0.4627,0.2578,-13.7917,13.6434,-15.1651,22.684,101.92,1
61.7264,31.8462,3.1037,0.2187,0.1713,-51.011,-20.0329,-14.3575,38.7303,299.8863,0
19.9855,17.8006,2.6581,0.4046,0.24,0.0041,29.1033,-13.4295,87.1498,245.888,0
81.9305,37.9403,2.8351,0.2734,0.1499,-104.51,-14.604,-26.1356,1.671,271.775,0
31.685,16.9763,2.6117,0.3203,0.1724,-26.7077,-18.69,13.2116,2.198,183.426,1
42.019,7.3876,2.3444,0.5882,0.3054,51.0773,-14.9667,-3.486,13.4966,184.773,1
27.9279,15.4882,2.5205,0.4133,0.2247,28.892,21.0378,-5.5457,12.21,212.898,1
32.705,11.1606,2.3891,0.5847,0.3258,-15.0011,1.8022,11.711,50.3919,184.7431,0
86.4685,25.9656,3.7818,0.1438,0.0811,-107.384,42.9666,11.3322,0.8473,254.285,1
138.7728,103.1938,3.7465,0.1216,0.0638,-217.8298,62.2805,58.5837,7.0801,199.3698,0
96.9419,35.3037,3.0671,0.2802,0.1855,-137.509,77.0775,-23.2123,7.0149,302.97700000000003,0
34.7458,21.9104,3.0687,0.2996,0.1831,22.3991,17.3737,9.7927,1.7171,189.474,1
99.6354,64.3958,3.3365,0.235,0.1348,-99.6209,-91.6052,36.0096,6.968999999999999,337.621,0
28.2195,16.0469,2.6133,0.4312,0.218,1.1911,27.1142,-3.1397,12.214,196.942,1
65.73899999999999,24.7642,3.4049,0.1779,0.1175,13.6016,41.4762,-17.7319,2.7714,223.683,1
70.69,20.5861,2.8865,0.2896,0.1474,-88.0805,37.3382,-10.6598,1.638,252.56,1
53.3283,15.0929,2.6524,0.3444,0.2298,24.4568,61.769,-5.2164,11.4237,250.2415,0
94.3067,91.1296,3.8161,0.1104,0.0255,-26.3364,76.663,27.8614,49.8113,43.3309,0
72.4762,61.65,3.1204,0.1449,0.0791,2.7104,-26.8392,-70.6845,84.8187,154.1564,0
37.0078,16.9054,2.8287,0.3071,0.1758,33.2045,24.3286,10.5076,3.6622,200.644,1
100.747,16.6321,2.944,0.3322,0.211,-110.411,74.4191,-14.7132,0.305,230.713,1
133.5869,104.3823,3.2622,0.141,0.0823,-207.3567,104.7099,116.5691,4.1599,119.8979,0
128.945,47.1696,3.4816,0.1066,0.0536,-165.287,-90.9151,-20.2129,58.5095,85.5954,0
27.8833,18.0692,2.7255,0.3819,0.1985,6.7361,-21.7496,10.1515,32.071,136.78,1
35.7084,15.7785,2.5031,0.3799,0.2057,31.7379,29.6927,-8.4502,35.069,197.877,1
75.0371,22.1402,2.786,0.2488,0.135,-83.5848,63.8216,4.1572,21.924,284.798,0
23.5463,13.5595,2.6309,0.4772,0.2538,-7.8784,-7.2848,-3.5004,52.9529,77.7417,0
45.5625,17.5357,2.6085,0.2685,0.1367,81.96600000000001,-38.1004,-5.1302,54.251000000000005,241.771,0
34.2512,6.7906,2.3589,0.5821,0.3654,21.3696,21.6899,5.6587,43.554,134.486,1
144.8698,18.9582,2.8248,0.4067,0.2289,-104.6886,-161.7681,-18.6551,88.8454,92.3026,0
22.2996,6.605,2.2082,0.7368,0.3746,25.67,6.2692,-6.767,3.2088,207.818,1
42.3207,15.5822,2.8439,0.3367,0.1841,9.7475,28.7389,-10.547,9.1652,198.737,1
24.8184,18.6278,2.7785,0.4047,0.2173,-11.8849,-23.4197,-5.084,32.188,104.017,0
35.5539,14.6053,2.639,0.2893,0.1596,29.9144,-14.7182,5.4633,13.318,236.509,1
19.6546,7.4092,2.0986,0.7331,0.4263,1.2064,-7.0747,4.9018,82.2589,235.163,1
29.6828,11.2671,2.2132,0.5966,0.3305,9.4322,5.224,-5.6215,57.6886,211.7046,0
26.8136,12.9271,2.5004,0.5719,0.3428,13.8773,22.0226,6.0542,0.708,209.888,1
25.0758,15.8299,2.5139,0.4257,0.2251,36.0418,-10.8532,11.329,80.2386,161.632,1
85.1815,34.5239,3.5263,0.15,0.0862,61.8615,82.1158,-20.363,3.888,170.419,1
211.225,33.6703,3.8115,0.0542,0.0279,-244.366,-208.36,20.3821,49.983,139.023,0
242.625,48.0852,3.9494,0.1229,0.063,-224.882,-243.154,-33.2692,28.1069,269.357,0
18.0652,16.1578,2.357,0.5055,0.3099,5.8033,-16.5923,-5.0432,67.7358,139.591,1
23.945,12.5218,2.3473,0.5663,0.3798,-10.3374,-15.0307,-12.5678,7.211,126.849,1
181.225,53.0495,3.8528,0.1267,0.0642,-62.8019,-107.855,-19.6299,52.84,329.767,0
66.0687,20.3533,2.9643,0.2823,0.1493,-50.6715,-43.5782,-12.3356,5.369,280.998,1
29.6869,6.3752,2.6031,0.5835,0.3204,9.7775,17.1571,3.8921,43.948,183.793,0
21.9801,9.9722,2.2041,0.6312,0.3969,20.4518,19.9955,11.4957,7.597,81.0011,1
239.7724,32.4624,3.1081,0.4108,0.2893,-323.027,190.5494,-23.9543,42.2162,194.9762,0
79.539,22.7182,3.4649,0.1793,0.0931,21.7908,75.6075,-11.0191,1.6851,267.36,1
19.9618,12.9808,2.4108,0.501,0.2583,13.5155,6.2451,-2.5119,58.9308,108.349,1
12.977,11.2337,2.3434,0.7483,0.4059,-14.8661,5.9407,-11.3905,71.4072,178.037,0
114.12,35.7247,3.255,0.1406,0.0714,-72.1128,-18.4049,-22.9739,56.5554,273.133,0
30.8784,17.2585,2.7589,0.3693,0.1925,31.0391,19.2528,5.6373,13.7391,186.985,1
21.3972,13.0781,2.5231,0.5997,0.3103,11.4719,-10.0954,11.2769,14.853,162.47899999999998,1
35.6486,10.2406,2.5687,0.6035,0.3943,34.0682,20.5153,13.2999,36.3529,172.7491,0
50.9887,9.8606,2.8549,0.3352,0.2046,21.0265,31.7074,-6.2376,9.8156,202.939,0
20.0062,10.9525,2.2878,0.5825,0.3119,-8.4534,18.0523,-9.9211,72.9346,71.5935,1
48.0128,11.4549,2.8299,0.3432,0.1723,31.2111,36.4697,-7.3894,14.985,224.053,0
47.8082,40.0114,3.1472,0.1489,0.0773,-42.1884,-33.3275,23.1291,25.998,114.605,0
53.9765,21.0655,2.5557,0.2837,0.1433,6.8371,40.0827,14.2929,1.843,170.195,1
141.967,51.2485,3.1421,0.2358,0.1273,-155.744,103.076,39.6457,47.14,274.685,0
17.666,11.1267,2.5365,0.4626,0.2646,3.3562,21.2237,-11.6285,61.3469,150.4692,0
36.8621,14.2671,2.7896,0.3539,0.2183,19.526,30.4941,-7.6983,14.4244,157.392,1
40.9987,7.3859,2.7771,0.5079,0.3267,33.522,24.7771,-7.4863,15.8358,140.19799999999998,0
42.9123,35.0966,3.6205,0.1917,0.1156,-2.3716,-37.3538,19.1961,44.927,29.3704,1
115.0816,58.9051,3.7606,0.1371,0.0809,10.655,103.1868,-20.4895,29.8217,163.6358,0
35.6691,6.6921,2.6051,0.5499,0.3726,-1.0422,22.2065,-1.7502,19.8835,124.4082,0
84.61,36.4657,3.6809,0.1393,0.0714,54.4505,86.0228,16.1472,17.575,258.597,1
75.5288,27.5869,3.1963,0.1401,0.0676,-98.3339,-37.9102,24.099,81.0645,179.2314,0
36.7226,23.1042,2.9906,0.2657,0.1559,19.3852,-22.9758,20.7725,9.5163,177.32,1
22.8849,15.0983,2.5677,0.7124,0.4154,-4.7445,12.8972,6.8721,6.3728,184.3651,0
45.9243,16.9284,3.0815,0.3083,0.1587,50.9613,42.2369,7.9519,4.8845,170.324,1
19.7564,12.0209,2.4026,0.7034,0.4756,27.0402,25.455,8.3949,62.2473,230.8169,0
26.4928,10.8712,2.3988,0.5309,0.3453,7.8185,17.3162,-10.0547,44.224,131.44899999999998,1
135.273,65.3513,3.5261,0.1096,0.0603,-23.0291,98.8722,-30.6597,24.4469,31.5625,0
37.716,19.0122,2.8567,0.3658,0.1939999999999999,30.0224,34.101,9.5223,21.8653,85.0906,1
59.8482,34.0838,3.0513,0.2266,0.1195,-2.8265,-41.0352,12.5443,3.5809,283.908,1
29.7001,14.132,2.5099,0.4513,0.2581,10.2064,23.6915,-7.8984,43.4617,193.311,1
195.949,143.465,4.6964,0.0316,0.016,-197.949,-208.803,124.621,23.2154,236.927,0
20.6824,7.2216,2.055,0.696,0.3656,-0.7822,7.0295,-5.9361,23.4492,140.246,1
119.975,74.8536,3.5262,0.1906,0.1376,-47.4358,-119.0453,69.0948,86.3852,385.3241,0
51.115,18.5114,2.752,0.2159,0.1142,8.1215,-25.515,-12.2658,21.9356,123.759,1
37.1898,16.2488,2.9759,0.3224,0.1739,-13.3445,-6.6957,-7.5508,7.0604,170.41400000000002,1
36.185,19.0554,2.7185,0.3021,0.1577,44.9507,28.3973,-15.3647,28.551,269.486,1
43.3724,31.0202,3.4532,0.1838,0.1048,48.9576,37.6172,-20.5515,14.518,75.6293,1
124.4163,18.8923,2.8560000000000003,0.2124,0.1135,-39.0383,-154.9658,-7.9943,31.3615,129.7972,0
21.2679,6.9341,2.0626,0.7186,0.4026,-22.9913,-12.4669,6.3003,86.49700000000001,130.298,1
17.4468,11.0266,2.2068,0.5466,0.2764,-23.5603,-8.3904,-0.2059,56.1897,144.424,1
37.3728,17.1148,2.9786,0.2794,0.1612,-10.6577,-26.2855,10.300999999999998,1.006,186.091,1
37.3136,15.9101,2.8576,0.2804,0.1575,6.5877,-28.581,6.6207,6.132000000000001,203.961,1
19.9277,7.2519,2.3395,0.7643,0.3959,-3.9818,11.1709,5.0815,70.244,189.333,0
26.0981,19.0882,2.8722,0.3812,0.2221,-13.3977,-22.078000000000003,8.4573,9.518,190.556,1
12.9938,11.11,2.3701,0.7505,0.4328,-14.4867,6.4619,-10.5565,17.483,136.881,1
60.5135,21.8754,3.0210000000000004,0.1963,0.1034,-110.511,36.3348,9.2767,6.909,252.777,1
46.8081,15.2763,2.5521,0.4404,0.2482,49.1972,-21.9238,-9.4602,1.4454,156.38299999999998,1
147.469,57.9305,3.1745,0.273,0.1589,-104.576,-150.179,41.9046,57.359,282.838,0
25.636,17.0778,2.4757,0.4548,0.2659,-17.0515,15.8265,-15.917,36.759,97.3621,1
40.181,16.2814,2.636,0.3145,0.1607,59.5047,-18.3183,15.348,14.366,183.18400000000003,1
50.5583,16.2167,2.642,0.4082,0.2452,19.8599,48.0472,15.4879,87.5167,227.25,0
59.1593,12.3848,2.9746,0.2267,0.1163,29.046,29.2396,5.8511,51.8434,155.2164,0
114.791,32.3719,2.8862,0.3015,0.1761,63.7682,115.441,26.4091,19.4063,257.969,0
253.248,46.3211,3.1099,0.2927,0.1549,274.0,-147.424,35.83,61.742,218.98,0
72.4457,22.6577,3.3752,0.2567,0.141,-47.825,57.0393,18.762,1.092,313.89,1
34.3872,31.6236,3.2924,0.2198,0.1217,21.1503,28.0159,-25.0545,20.7695,106.629,1
50.3466,12.072,2.8899,0.3814,0.2313,-74.4798,31.4862,-5.7697,3.915,266.534,1
211.048,91.3653,3.5410000000000004,0.0912,0.0493,-84.4925,-125.602,-95.2833,86.5759,49.1527,0
303.2787,40.3691,3.4487,0.1013,0.0335,-258.7485,-242.5189,35.1782,73.703,157.817,0
51.624,21.1502,2.9085,0.242,0.134,50.8761,43.1887,9.8145,3.613,238.098,1
71.3527,17.8546,3.0853,0.1749,0.0932,142.7684,-20.1101,-3.5355,16.6362,155.5068,0
18.1586,10.7448,2.4314,0.6556,0.3981,8.6462,-15.9745,-9.0776,72.273,237.998,1
37.6565,20.7949,2.9266,0.2558,0.1545,32.9923,17.0607,11.5135,10.691,163.356,1
109.8893,31.9435,2.8997,0.3623,0.2007,81.8798,-100.1337,-27.308000000000003,39.7536,379.2065,0
61.6736,35.0896,3.1659,0.3031,0.1594,-5.9663,34.4763,-21.4243,17.1635,334.8951,0
29.9916,11.2395,2.2585,0.487,0.28,9.2499,12.8682,-7.226,4.1274,94.8653,0
43.2643,15.9915,2.8552,0.5066,0.3552,27.7753,33.9622,11.6473,11.33,283.098,0
26.5259,10.1961,2.4401,0.5517,0.3103,4.2748,18.4977,-5.7757,28.938,201.759,1
23.2176,10.6981,2.2945,0.6548,0.3579,17.9424,18.2835,7.7301,13.098,194.157,1
38.7824,25.7038,3.2171,0.2408,0.1368,13.3523,28.4911,11.2312,21.516,165.672,1
41.2491,18.3478,2.9012,0.2624,0.14,-21.6092,-17.9181,-13.2604,7.7318,194.282,1
70.0753,19.3644,3.1517,0.2327,0.1216,35.245,59.7135,-8.1105,4.1472,244.546,1
56.0878,25.9763,3.0638,0.2948,0.1552,2.9482,44.3306,11.5792,4.9101,329.4015,0
23.6155,14.2856,2.5752,0.508,0.3285,9.7691,16.852,-9.8192,25.219,132.275,1
69.4358,16.0666,2.4956,0.3471,0.1758,46.1161,71.9623,-10.8771,78.4354,161.377,0
21.181,12.7713,2.3551,0.4459,0.245,15.1731,11.5618,8.5996,9.109,183.85,1
27.4069,22.8564,3.0336,0.3498,0.2291,-5.118,-14.929,17.33,76.05,102.33,1
33.7908,8.9799,2.4609,0.481,0.2785,26.6154,-16.5715,6.0364,13.7763,182.081,1
18.2814,10.3692,2.29,0.6154,0.3103,23.0836,9.8131,-5.8535,17.734,189.296,1
30.1788,10.6125,2.4771,0.46,0.2383,23.7772,16.4568,-8.6961,80.6957,156.608,0
25.3603,12.0956,2.5302,0.4602,0.2404,16.7515,14.293,5.2434,19.1921,216.885,1
107.597,46.4634,4.0313,0.0911,0.0474,-82.3014,72.13,-29.0426,3.503,302.30400000000003,1
27.4746,16.3967,2.968,0.3767,0.2201,19.6982,14.9053,2.8676,18.2815,183.368,1
84.5223,18.4669,3.0763,0.2315,0.1179,40.3336,88.3092,5.3147,0.794,221.356,1
50.4829,25.9699,3.3194,0.1941,0.1133,32.1193,39.0162,-18.1839,22.471,141.601,1
46.7412,17.5755,2.9085,0.2545,0.1477,-46.5172,-32.4009,14.3317,71.3214,147.1831,0
32.9759,15.2198,2.5682,0.3892,0.2014,36.4556,29.8238,-9.9853,14.964,245.289,0
25.8591,11.8145,2.7835,0.5021,0.2593,17.1714,-14.5131,-10.0547,62.8424,229.431,0
19.8208,7.3561,2.1658,0.7440000000000001,0.413,-2.2636,8.9972,-5.0596,20.5231,217.088,1
67.1152,35.1811,2.7969,0.3384,0.2227,-33.559,58.7425,7.8771,40.61,184.465,1
128.256,46.3484,4.0138,0.0923,0.0479,-108.93,102.411,20.2247,3.208,231.841,1
21.3719,12.7783,2.4273,0.4561,0.2299,29.3936,-5.7645,8.0277,10.636,138.613,1
31.0586,16.9068,2.5999,0.3668,0.2123,13.709,21.735,15.4354,11.7643,210.618,1
38.9993,9.7815,2.6928,0.4016,0.2688,9.9352,26.6999,6.1229,49.7465,192.15,0
20.8247,7.1719,2.0233,0.7014,0.3554,-1.3973,8.6766,6.0362,39.435,100.761,0
41.8803,21.5763,3.006,0.2821,0.1711,-5.4176,-28.201,11.338,5.1208,175.21099999999998,1
19.4266,12.1487,2.4541,0.5554,0.304,-1.6748,12.1233,-7.7484,23.9107,198.974,1
27.9835,25.1852,2.8182,0.2964,0.1588,-7.6944,-18.7768,12.6197,31.247,188.174,1
24.9728,18.1846,2.3483,0.3946,0.2085,1.7972,5.7024,10.9854,8.447000000000001,110.438,1
144.412,34.4058,2.9643,0.4473,0.2253,-96.1047,-126.462,31.4412,30.5008,388.364,0
13.4634,0.1748,2.1941,0.7456,0.423,0.6513,8.3107,-1.7619999999999998,86.163,138.0456,0
24.8026,12.3618,2.5888,0.5103,0.2719,-15.3475,-19.6834,-4.8639,7.5907,123.204,1
65.0483,33.8061,2.8254,0.2313,0.1398,-85.1316,42.9006,-17.125,54.1282,146.618,0
36.2224,9.3149,2.643,0.4528,0.2696,29.1757,28.1541,4.8776,5.066,136.539,0
158.86,29.3982,2.8373,0.2953,0.1855,-104.699,-110.154,-6.6452,0.0103,353.41,1
25.7223,12.8615,2.6112,0.5679,0.3219,6.178,17.9656,-8.3127,58.622,193.172,0
47.0077,24.8714,3.3193,0.2503,0.1048,-6.3329,-29.8004,-10.81,74.8551,170.8147,0
52.2878,21.4043,2.8813,0.2213,0.1121,17.6009,2.1288,10.2394,22.0388,69.0464,0
245.594,136.72299999999998,3.4852,0.1325,0.0731,-216.55,-168.707,127.685,21.555,121.957,0
28.602,0.0034,2.5340000000000003,0.652,0.4254,7.6315,20.989,0.0001,66.546,169.924,0
28.4015,9.4934,2.6894,0.5321,0.2921,41.747,11.4296,1.9107,34.9012,204.7034,0
47.2156,18.7115,3.07,0.2119,0.1213,-1.0962,-22.7595,10.4226,3.4,195.922,1
66.9411,22.6725,3.0594,0.266,0.133,51.7194,76.8033,-9.8085,5.632999999999999,154.97899999999998,1
41.2412,16.844,2.6222,0.2912,0.1492,-24.2949,18.4922,-12.2418,19.4837,189.459,1
96.0679,26.9201,3.4808,0.1887,0.1023,-51.0279,63.4326,22.1025,3.045,311.03700000000003,1
20.8484,12.248,2.437,0.5082,0.2797,-26.4809,-10.5577,-9.4669,68.6674,100.45,1
